,coef,std err,t,P>|t|,[0.025,0.975]
Intercept,1278000.0,228000.0,5.611,0.0,831000.0,1720000.0
C(Store)[T.2],371700.0,18900.0,19.625,0.0,335000.0,409000.0
C(Store)[T.3],-1170000.0,19200.0,-60.894,0.0,-1210000.0,-1130000.0
C(Store)[T.4],753400.0,95400.0,7.897,0.0,566000.0,940000.0
C(Store)[T.5],-1268000.0,19700.0,-64.352,0.0,-1310000.0,-1230000.0
C(Store)[T.6],-16490.0,19300.0,-0.853,0.394,-54400.0,21400.0
C(Store)[T.7],-920200.0,29100.0,-31.652,0.0,-977000.0,-863000.0
C(Store)[T.8],-695600.0,19900.0,-35.027,0.0,-734000.0,-657000.0
C(Store)[T.9],-1056000.0,19800.0,-53.24,0.0,-1100000.0,-1020000.0
C(Store)[T.10],635200.0,92500.0,6.871,0.0,454000.0,816000.0
C(Store)[T.11],-215100.0,19200.0,-11.196,0.0,-253000.0,-177000.0
C(Store)[T.12],-148800.0,86800.0,-1.714,0.087,-319000.0,21400.0
C(Store)[T.13],681400.0,93700.0,7.275,0.0,498000.0,865000.0
C(Store)[T.14],575600.0,35500.0,16.2,0.0,506000.0,645000.0
C(Store)[T.15],-684900.0,86700.0,-7.902,0.0,-855000.0,-515000.0
C(Store)[T.16],-1014000.0,32100.0,-31.641,0.0,-1080000.0,-952000.0
C(Store)[T.17],-444900.0,94600.0,-4.705,0.0,-630000.0,-260000.0
C(Store)[T.18],-208900.0,84700.0,-2.467,0.014,-375000.0,-42900.0
C(Store)[T.19],137200.0,86700.0,1.583,0.113,-32700.0,307000.0
C(Store)[T.20],564900.0,20900.0,27.062,0.0,524000.0,606000.0
C(Store)[T.21],-797400.0,18900.0,-42.098,0.0,-835000.0,-760000.0
C(Store)[T.22],-292600.0,82000.0,-3.57,0.0,-453000.0,-132000.0
C(Store)[T.23],1613.0278,92400.0,0.017,0.986,-180000.0,183000.0
C(Store)[T.24],60530.0,85900.0,0.705,0.481,-108000.0,229000.0
C(Store)[T.25],-838800.0,20900.0,-40.095,0.0,-880000.0,-798000.0
C(Store)[T.26],-320500.0,86300.0,-3.713,0.0,-490000.0,-151000.0
C(Store)[T.27],460200.0,82700.0,5.566,0.0,298000.0,622000.0
C(Store)[T.28],165700.0,86800.0,1.909,0.056,-4471.597,336000.0
C(Store)[T.29],-731200.0,83200.0,-8.784,0.0,-894000.0,-568000.0
C(Store)[T.30],-1115000.0,18900.0,-58.859,0.0,-1150000.0,-1080000.0
C(Store)[T.31],-157600.0,18900.0,-8.319,0.0,-195000.0,-120000.0
C(Store)[T.32],-313300.0,28900.0,-10.847,0.0,-370000.0,-257000.0
C(Store)[T.33],-996800.0,92200.0,-10.815,0.0,-1180000.0,-816000.0
C(Store)[T.34],-288400.0,88400.0,-3.262,0.001,-462000.0,-115000.0
C(Store)[T.35],-384200.0,80700.0,-4.762,0.0,-542000.0,-226000.0
C(Store)[T.36],-1170000.0,19000.0,-61.663,0.0,-1210000.0,-1130000.0
C(Store)[T.37],-1024000.0,19000.0,-53.956,0.0,-1060000.0,-987000.0
C(Store)[T.38],-772100.0,86800.0,-8.893,0.0,-942000.0,-602000.0
C(Store)[T.39],-93160.0,19000.0,-4.907,0.0,-130000.0,-55900.0
C(Store)[T.40],-425100.0,92400.0,-4.598,0.0,-606000.0,-244000.0
C(Store)[T.41],-251600.0,31100.0,-8.095,0.0,-313000.0,-191000.0
C(Store)[T.42],-707800.0,92500.0,-7.656,0.0,-889000.0,-527000.0
C(Store)[T.43],-845000.0,21400.0,-39.524,0.0,-887000.0,-803000.0
C(Store)[T.44],-1025000.0,94200.0,-10.89,0.0,-1210000.0,-841000.0
C(Store)[T.45],-659400.0,35500.0,-18.558,0.0,-729000.0,-590000.0
Holiday_Flag,69240.0,7982.452,8.674,0.0,53600.0,84900.0
Temperature,-833.7115,131.75,-6.328,0.0,-1091.985,-575.438
Fuel_Price,-41350.0,7161.87,-5.774,0.0,-55400.0,-27300.0
CPI,2933.351,1033.314,2.839,0.005,907.709,4958.993
Unemployment,-22470.0,4290.894,-5.236,0.0,-30900.0,-14100.0
